Taylor(n),Interval,Mean(a_11),Mean(a_12),Mean(a_13),Mean(a_21),Mean(a_22),Mean(a_23),Mean(a_31),Mean(a_32),Mean(a_33),Mean(r_1),Mean(r_2),Mean(r_3),Med(a_11),Med(a_12),Med(a_13),Med(a_21),Med(a_22),Med(a_23),Med(a_31),Med(a_32),Med(a_33),Med(r_1),Med(r_2),Med(r_3)
1,0.05,0.10016254133155902,0.10061525678774134,0.10025531731189061,0.00029106380708608713,0.0006419874863733776,0.00031125047786731495,0.10083787206238719,0.10213021555648465,0.10067639868401061,0.10018084353719439,0.00027386632013552605,0.10066992225040675,0.00020111091604903375,0.0004935698983858448,0.0003491625445282829,0.00021453425610988536,0.0005040982840991648,0.00029448616784069214,0.0009325482831591783,0.0026642211543003265,0.0009459560576373896,0.00024272444494249297,0.00021491681904089858,0.0007149874308120223
2,0.05,1.8335075854399821e-6,9.090738618820477e-6,2.1467382157916594e-6,3.25181655901352e-6,1.5056431031617946e-5,6.906842648003493e-6,1.808916544426576e-5,9.959464627331616e-5,2.988723569869077e-5,1.9571501217494767e-6,3.4795872994398095e-6,3.589498217488042e-5,2.1062171266959057e-6,4.291714149867182e-6,1.4035364445030097e-6,1.9781889791533993e-6,5.4596468043552805e-6,3.1637542455118375e-6,1.2064949693549243e-5,8.487230410266849e-5,1.5617757627908638e-5,1.3819277819262823e-6,1.4639201891129086e-6,2.7708298189030633e-5
3,0.05,1.3442578049187036e-8,8.668916280406092e-8,2.1903590300736077e-8,2.5855362524102085e-8,1.6696961504545232e-7,7.935755795844131e-8,2.754916405724718e-7,2.005961800226054e-6,6.002700444458404e-7,1.701434851409334e-8,3.9104318075597955e-8,7.865280942192692e-7,9.483965157295116e-9,3.383220219242033e-8,8.715574565788303e-9,1.3450284868151728e-8,3.635808768967276e-8,1.9910892339890278e-8,1.169376834591899e-7,1.5627918819609087e-6,6.542114943459727e-7,5.3177996535436706e-9,1.0090576027960465e-8,4.914222328001745e-7
4,0.05,8.255440702317334e-11,6.484070739195164e-10,1.7950840373344567e-10,1.5502172823902174e-10,1.273669609451776e-9,6.212861283193105e-10,3.471520514272091e-9,3.232229895672709e-8,9.616016092693166e-9,1.2838043123323735e-10,3.069916395868865e-10,1.3244819439777571e-8,3.124951865702486e-11,1.60044564476557e-10,2.8438661885716666e-11,7.057209639099524e-11,1.6990713019113155e-10,9.975393419687408e-11,8.224719156207769e-10,2.0295324455428613e-8,8.517432171331688e-9,3.551439484879291e-11,5.552235315307851e-11,5.039291619354049e-9
5,0.05,4.4030031612836014e-13,4.059163032526658e-12,1.2456301458915517e-12,7.592755915255375e-13,7.508128882991953e-12,3.676669538768927e-12,3.764438834813752e-11,4.4070894708204015e-10,1.3190934122144963e-10,7.961689156590654e-13,1.868229107552039e-12,1.8331939584455442e-10,7.301071927440398e-14,6.731943599469908e-13,9.877773235862831e-14,3.159599187798688e-13,6.464527791582216e-13,3.237410995683963e-13,4.631987467603757e-12,1.7700840425614976e-10,8.616922410040184e-11,1.4471929477866683e-13,2.1522915052449975e-13,4.213448420712076e-11
1,0.1,0.20086623586889196,0.20577373944498464,0.2021981891280297,0.10162169575169319,0.10480327755295618,0.10442577548283045,0.2026959563500162,0.21226838381101948,0.20596043467277636,0.20054071780142751,0.10107378991108593,0.20299595791767366,0.0013099579602806216,0.009131389649623053,0.00323766620199961,0.00140959954692629,0.00638420504591608,0.0034105258495139706,0.0032277735452479516,0.02249260807686955,0.009221020936297026,0.0007294193663714148,0.0012583233246268408,0.004177931177058906
2,0.1,4.951968468575431e-5,0.000568921279204571,0.00031551707912577453,0.00014651945073931727,0.002009551182032459,0.0015613409224613764,0.20007512223460502,0.20073990802691272,0.2003479236771804,5.515539596424317e-5,0.00022445866702038445,0.20023989698867614,3.481022949421267e-5,4.24430552104544e-5,3.94938860152e-5,1.966741360517376e-5,5.9909148419276664e-5,4.677604476772325e-5,5.059084693190808e-5,0.0007803951077998261,0.0005069207575180831,7.801777936670464e-6,1.113876229242122e-5,0.00012725726313965666
3,0.1,7.726301685944151e-7,1.2146996683954053e-5,6.7639537072458e-6,3.920257404501523e-6,6.227703457331094e-5,4.8440765969674404e-5,2.3203446382134284e-5,0.0004905614515346111,0.000352057578641348,1.2801714543293663e-6,6.65822922778065e-6,5.960970237691331e-5,3.637762436155161e-7,4.806821965458394e-7,3.162915288249022e-7,2.1325428623116198e-7,8.648597541793144e-7,5.684164856506891e-7,6.243329137208807e-7,1.1730738931616702e-5,8.215092440666733e-6,8.000242443521029e-8,6.819878386109009e-8,2.5056369103633353e-6
4,0.1,9.575999693850297e-9,1.8453161478484734e-7,1.020424315852566e-7,7.840150948808178e-8,1.3911979073353355e-6,1.0927049323108423e-6,0.10000064798693484,0.10001460868057228,0.10001046058409964,2.0621331735599807e-8,1.4486362768688193e-7,0.10000183135183494,3.9472385374867604e-9,4.774006950585323e-9,2.9842926732737178e-9,1.774963688883711e-9,8.947797878055931e-9,7.205519252554562e-9,5.713739510477092e-9,1.2135311310103811e-7,8.592250770025988e-8,7.759559301927934e-10,1.2727054509026687e-9,2.671964228506282e-8
5,0.1,1.0569756040478308e-10,2.2230765208147563e-9,1.2180735143448839e-9,1.2684181312485807e-9,2.515595947808447e-8,2.001345000862009e-8,1.6935644988074825e-8,3.6043086623102953e-7,2.559270642444444e-7,2.59449976112453e-10,2.5564172117223715e-9,4.765502068782904e-8,4.376260200592982e-11,4.929959928877888e-11,2.2175395757636077e-11,1.208942537377075e-11,4.584301920252108e-11,3.6919595936856405e-11,4.1035229590340566e-11,1.0014387990741084e-9,7.184740233380196e-10,6.551107025591705e-12,9.52791874889169e-12,2.1484496584148869e-10
