Taylor(n),Interval,Mean(a_11),Mean(a_12),Mean(a_21),Mean(a_22),Mean(r_1),Mean(r_2),Med(a_11),Med(a_12),Med(a_21),Med(a_22),Med(r_1),Med(r_2)
1,0.05,0.0002881114798362131,0.00027140974714072073,0.030519949085772248,0.030397251354995297,0.00013764040412887657,0.030273465457289612,0.0002206159993841303,0.00017104489106162067,0.0003389188895998098,0.00023314538363973058,0.00010418926654397453,0.00024302426744520134
2,0.05,2.5844754972376037e-6,2.271765716721403e-6,7.976568348604368e-6,6.14330091029358e-6,7.920035117941147e-7,5.308612837735041e-6,1.249957669583027e-6,7.826398407647481e-7,3.0453569118748327e-6,1.2252166675455182e-6,2.6051845429161196e-7,2.4696937239048112e-6
3,0.05,1.917088168762815e-8,1.53128967914973e-8,9.350644564885104e-8,7.22039180989278e-8,6.2512785104485926e-9,7.543780623119562e-8,4.053213616963251e-9,2.6260850862379055e-9,1.4352945618583756e-8,5.960876337829224e-9,1.3418849957251495e-9,1.1976250680802855e-8
4,0.05,1.1979237834520578e-10,8.632659478142514e-11,9.152916052282658e-10,7.156715155618743e-10,4.4457065216846554e-11,8.300036603364365e-10,1.059305504848925e-11,6.073376926958013e-12,6.175798826001872e-11,1.9375834855861356e-11,4.8340509660467176e-12,5.475799560051636e-11
5,0.05,6.379562443015033e-13,4.1612574207225717e-13,7.734682162437532e-12,6.087894825992068e-12,2.578384347973267e-13,7.542490282573008e-12,4.0159223366784725e-14,1.2383456936211731e-14,1.9068849414377082e-13,5.05199954470278e-14,1.60113816933691e-14,1.939575844018932e-13
6,0.05,1.8975676531184868e-14,4.611120795222956e-15,6.135781187542658e-14,4.6570480388929573e-14,7.248434303527739e-15,6.228733546189493e-14,1.5214561003328534e-14,3.0547900320170405e-15,7.819155104349267e-15,2.1366383505696572e-15,5.9433267976016554e-15,7.215065057936067e-15
7,0.05,1.684792026627346e-14,3.306123201824748e-15,7.522112465221304e-15,2.586481483768812e-15,6.336811263019584e-15,7.046457384205303e-15,1.4685199382072074e-14,2.6748511763689966e-15,6.060506043034046e-15,1.6204543906673082e-15,5.465241219892683e-15,5.4417789871450485e-15
1,0.1,0.051184150342599814,0.05118610977991441,0.08193741325097717,0.08138135487115047,0.05052582371102499,0.08098537531283645,0.0010812433395209252,0.0007955988080324127,0.001645148689663495,0.0011150651119208573,0.0005098802403538816,0.0008932138670654825
2,0.1,2.5253090166357992e-5,2.4625306911808565e-5,0.0100621601721482,0.010041462041606782,7.923496676868912e-6,0.010038354063916115,1.050228989296801e-5,8.378420929026511e-6,2.376940642961711e-5,1.2802716773597065e-5,3.955166645846377e-6,1.7686570288901253e-5
3,0.1,4.0857820863339894e-7,3.5993608263515545e-7,1.4474071278504054e-6,8.675370672043944e-7,1.5321899618533957e-7,1.0209701122144241e-6,9.571311347803037e-8,5.5069426519806814e-8,2.6400926222315323e-7,1.0499248460063047e-7,3.23577920620066e-8,2.7240083760638686e-7
4,0.1,5.490170605130743e-9,4.398054169115676e-9,2.597079091401999e-8,1.5304109196958263e-8,2.3105771528990025e-9,2.031443231544018e-8,6.875170318792304e-10,3.2221399907396986e-10,2.4213071540951348e-9,1.022722154646116e-9,2.1806967620394107e-10,2.6510317781049017e-9
5,0.1,6.253465265778895e-11,4.634685294065653e-11,3.907590286358927e-10,2.3104246407335165e-10,2.82432071394339e-11,3.2901497051339037e-10,3.791418272645644e-12,1.511694353919108e-12,2.0485702414432666e-11,5.451314288603613e-12,1.0870282400378114e-12,1.9059649769209676e-11
6,0.1,6.243557503143309e-13,4.3105818970443593e-13,5.0790191222531176e-12,3.0454040860398205e-12,2.930339793520891e-13,4.524660088891472e-12,3.217209921981836e-14,8.236879822955958e-15,1.2512825910961755e-13,3.3114116980361435e-14,1.0627813719441755e-14,1.1134960745878446e-13
7,0.1,2.0502451341095732e-14,6.396123143813598e-15,6.193211638500983e-14,3.6892057084434165e-14,8.369240063539942e-15,5.779486697292677e-14,1.5425136094947026e-14,3.169764654230682e-15,1.0722450711389461e-14,2.952266342786376e-15,5.859721440786928e-15,9.194946465038798e-15
1,0.2,0.04399188637401141,0.04328564930927437,0.10751113606129892,0.10593770912361096,0.04173682286427411,0.10409834723276407,0.002617332616551414,0.002421115649611015,0.0061177579412578995,0.004822964632089697,0.0013741216689867777,0.004138494133206879
2,0.2,0.010147855515118426,0.010121055429495578,0.010596655851053082,0.01039750735137148,0.010045257758508664,0.010375402947101384,3.9893294042950056e-5,4.0760610893848605e-5,0.00020440760610509361,0.00010905509245114417,2.0895424929160817e-5,0.00013429552630815546
